Symbol,Name,Sector,Shares Outstanding
MMM,3M,Industrials,576252992.0
AOS,A. O. Smith,Industrials,133187000.0
ABT,Abbott Laboratories,Health Care,1768290048.0
ABBV,AbbVie,Health Care,1767879936.0
ABMD,Abiomed,Health Care,45497500.0
ACN,Accenture,Information Technology,632001024.0
ATVI,Activision Blizzard,Communication Services,778889024.0
ADM,ADM,Consumer Staples,559441024.0
ADBE,Adobe,Information Technology,475800000.0
AAP,Advance Auto Parts,Consumer Discretionary,62355200.0
AMD,Advanced Micro Devices,Information Technology,1207609984.0
AES,AES Corp,Utilities,666713984.0
AFL,Aflac,Financials,661528000.0
A,Agilent Technologies,Health Care,302000992.0
APD,Air Products & Chemicals,Materials,221684000.0
AKAM,Akamai Technologies,Information Technology,162480000.0
ALK,Alaska Air Group,Industrials,125311000.0
ALB,Albemarle Corporation,Materials,116976000.0
ARE,Alexandria Real Estate Equities,Real Estate,154964000.0
ALGN,Align Technology,Health Care,78853104.0
ALLE,Allegion,Industrials,89695904.0
LNT,Alliant Energy,Utilities,250360992.0
ALL,Allstate Corp,Financials,286676000.0
GOOGL,Alphabet (Class A),Communication Services,300809984.0
GOOG,Alphabet (Class C),Communication Services,317737984.0
MO,Altria Group,Consumer Staples,1836989952.0
AMZN,Amazon,Consumer Discretionary,507148000.0
AMCR,Amcor,Materials,1533170048.0
AEE,Ameren Corp,Utilities,257606000.0
AAL,American Airlines Group,Industrials,647513984.0
AEP,American Electric Power,Utilities,496390016.0
AXP,American Express,Financials,774556032.0
AIG,American International Group,Financials,830297984.0
AMT,American Tower,Real Estate,455414016.0
AWK,American Water Works,Utilities,181538000.0
AMP,Ameriprise Financial,Financials,111890000.0
ABC,AmerisourceBergen,Health Care,208132992.0
AME,Ametek,Industrials,231324992.0
AMGN,Amgen,Health Care,563265984.0
APH,Amphenol,Information Technology,598028032.0
ADI,Analog Devices,Information Technology,525331008.0
ANSS,Ansys,Information Technology,87253000.0
ANTM,Anthem,Health Care,242715008.0
AON,Aon,Financials,220332000.0
APA,APA Corporation,Energy,
AAPL,Apple,Information Technology,16406400000.0
AMAT,Applied Materials,Information Technology,888513024.0
APTV,Aptiv,Consumer Discretionary,270513984.0
ANET,Arista Networks,Information Technology,307300000.0
AJG,Arthur J. Gallagher & Co.,Financials,207278000.0
AIZ,Assurant,Financials,56976700.0
T,AT&T,Communication Services,7141000192.0
ATO,Atmos Energy,Utilities,132705000.0
ADSK,Autodesk,Information Technology,219972992.0
ADP,Automatic Data Processing,Information Technology,421384000.0
AZO,AutoZone,Consumer Discretionary,20634400.0
AVB,AvalonBay Communities,Real Estate,139740992.0
AVY,Avery Dennison,Materials,82795600.0
BKR,Baker Hughes,Energy,869968000.0
BLL,Ball Corp,Materials,323894016.0
BAC,Bank of America,Financials,8184079872.0
BBWI,Bath & Body Works Inc.,Consumer Discretionary,257723008.0
BAX,Baxter International,Health Care,500692992.0
BDX,Becton Dickinson,Health Care,285043008.0
BRK-B,Berkshire Hathaway,Financials,1303480064.0
BBY,Best Buy,Consumer Discretionary,240560992.0
BIO,Bio-Rad Laboratories,Health Care,24836100.0
TECH,Bio-Techne,Health Care,39295300.0
BIIB,Biogen,Health Care,146892992.0
BLK,BlackRock,Financials,151916992.0
BK,BNY Mellon,Financials,825820992.0
BA,Boeing,Industrials,587699008.0
BKNG,Booking Holdings,Consumer Discretionary,41059800.0
BWA,BorgWarner,Consumer Discretionary,239771008.0
BXP,Boston Properties,Real Estate,156207008.0
BSX,Boston Scientific,Health Care,1424989952.0
BMY,Bristol Myers Squibb,Health Care,2219640064.0
AVGO,Broadcom,Information Technology,412873984.0
BR,Broadridge Financial Solutions,Information Technology,116578000.0
BRO,Brown & Brown,Financials,282427008.0
BF-B,Brown–Forman,Consumer Staples,309743008.0
CHRW,C. H. Robinson,Industrials,129987000.0
CDNS,Cadence Design Systems,Information Technology,277140992.0
CZR,Caesars Entertainment,Consumer Discretionary,213774000.0
CPB,Campbell Soup,Consumer Staples,301737984.0
COF,Capital One Financial,Financials,425622016.0
CAH,Cardinal Health,Health Care,281788000.0
KMX,CarMax,Consumer Discretionary,161872000.0
CCL,Carnival Corporation,Consumer Discretionary,981048000.0
CARR,Carrier Global,Industrials,866585024.0
CTLT,Catalent,Health Care,171188000.0
CAT,Caterpillar,Industrials,540942016.0
CBOE,Cboe Global Markets,Financials,106643000.0
CBRE,CBRE,Real Estate,334665984.0
CDW,CDW,Information Technology,135723008.0
CE,Celanese,Materials,108871000.0
CNC,Centene Corporation,Health Care,583502976.0
CNP,CenterPoint Energy,Utilities,628865984.0
CDAY,Ceridian,Information Technology,151331008.0
CERN,Cerner,Health Care,292211008.0
CF,CF Industries,Materials,214475008.0
CRL,Charles River Laboratories,Health Care,50464400.0
SCHW,Charles Schwab Corporation,Financials,1811309952.0
CHTR,Charter Communications,Communication Services,179291008.0
CVX,Chevron Corporation,Energy,1927689984.0
CMG,Chipotle Mexican Grill,Consumer Discretionary,28135400.0
CB,Chubb,Financials,430740992.0
CHD,Church & Dwight,Consumer Staples,250000000.0
CI,Cigna,Health Care,331428000.0
CINF,Cincinnati Financial,Financials,161140992.0
CTAS,Cintas Corporation,Industrials,103664000.0
CSCO,Cisco Systems,Information Technology,4217609984.0
C,Citigroup,Financials,1984269952.0
CFG,Citizens Financial Group,Financials,426200000.0
CTXS,Citrix Systems,Information Technology,124723000.0
CLX,Clorox,Consumer Staples,122863000.0
CME,CME Group,Financials,359396000.0
CMS,CMS Energy,Utilities,289696992.0
KO,Coca-Cola Company,Consumer Staples,4319419904.0
CTSH,Cognizant Technology Solutions,Information Technology,525252000.0
CL,Colgate-Palmolive,Consumer Staples,842849024.0
CMCSA,Comcast,Communication Services,4559479808.0
CMA,Comerica,Financials,131149000.0
CAG,Conagra Brands,Consumer Staples,479689984.0
COP,ConocoPhillips,Energy,1318950016.0
ED,Consolidated Edison,Utilities,353748992.0
STZ,Constellation Brands,Consumer Staples,164264000.0
CPRT,Copart,Industrials,237188000.0
GLW,Corning,Information Technology,853408000.0
CTVA,Corteva,Materials,728908992.0
COST,Costco,Consumer Staples,443432000.0
CTRA,Coterra,Energy,813577984.0
CCI,Crown Castle,Real Estate,432203008.0
